orden,Titulo,coordenadas
,SANTA MARTA ARTÍSTICA,
1,MAC JOSE FUENTES,"40.94903821068262, -5.630767828997082"
2,MUSEO DEL GRABADO Y OBRA MULTIPLE,"40.950715570966466, -5.631181309935234"
3,ESPACIO SERZO,"40.94916213387142, -5.630791420405776"
4,ESPACIO AGUSTIN CASILLAS ESCULTURA,"40.949733420918456, -5.629289383399149"
5,SALA DE EXPOSICIONES TRAGALUZ,"40.94862730746121, -5.627921456776943"
6,SALA DE EXPOSICONES MIGUEL DELIBES,"40.95225375214037, -5.632879158521092"
7,SALA DE EXPOSICIONES PROTAGONISTAS,"40.9491150877696, -5.630794930957536"
,MUSEO DE LA MOTO HISTÓRICA,
8,MUSEO DE LA MOTO HISTÓRICA,"40.94911306191609, -5.627337563607579"
9,MURAL HOMENAJE A ALFONSO SERRRANO,"40.94960534185012, -5.6286652570004225"
,SANTA MARTA NATURAL,
10,ISLA DEL SOTO,"40.95264807709702, -5.636532175503943"
11,PASARELA ACCESO DESDE LA ALDEHUELA,"40.95301270973846, -5.635148155783474"
12,PASARELA DE ACCESO DESDE AL FONTANA,"40.953214853347895, -5.638477865332619"
13,PASARELA DE ACCESO DESDE LA PLAZA DE LA IGLESIA,"40.95188025018759, -5.6310139627174065"
14,CENTRO DE INTERPRETACIÓN DE LA ISLA DEL SOTO,"40.952270516013584, -5.632678987163401"
15,ZONA DE JUEGOS INFANTIL ISLA DEL SOTO,"40.95236180430131, -5.631334638361421"
16,MERENDEROS DE LA ISLA DEL SOTO,"40.95254645333534, -5.630554796617594 ; 40.95233686730648, -5.633317078438393"
17,PUESTOS DE PESCA ISLA DEL SOTO,"40.95274881163165, -5.634369680137865; 40.953088483089815, -5.629951942905545; 40.95228627747778, -5.637824127492909; 40.95298248652032, -5.63531064236013"
18,ZONA JUEGO MASCOTAS DE LA ISLA DEL SOTO,"40.953628099408306, -5.638104821247804"
19,CIRCUITO DE TRIAL ISLA DEL SOTO,"40.95458446212834, -5.638876729153158"
,SANTA MARTA FAMILIAR,
20,RUTA DE LOS LÁPICES,"40.95322338759185, -5.637900680365301; 40.95231277691733, -5.635061845552752; 40.95217546151825, -5.63140644706071; 40.95105283721266, -5.630730230196973; 40.95019519719526, -5.633246905053849; 40.950571018347695, -5.637275498728344"
21,RUTA DE LOS BICHOS,"40.949947057698786, -5.632746121861494; 40.94925081664999, -5.630784455161196; 40.9502819253369, -5.630401690921166; 40.952267005147846, -5.63286095110753"
22,CAMPO DE FUTBOL ALFONSO SAN CASTO,"40.94560212487235, -5.625581447785498"
23,MURAL OCÉANO,"40.95067441736678, -5.628470781095177"
24,ESPACIO ISLA DEL SOTO ENCANTADA,"40.94928204234335, -5.629937204019709"
